review_text,star_rating,timestamp,clean_text,normalized_text,sentiment,aspects
"Kurir lambat, jam tangan hancur pas sampai ga pake bubble wrap.",2,2026-05-24 22:14:08,kurir lambat jam tangan hancur pas sampai ga pake bubble wrap,kurir lambat jam tangan hancur pas sampai tidak pakai bubble wrap,Negative,"Shipping/Delivery,Packaging/Condition"
"Pengiriman cepat banget, skincare original.",5,2026-02-14 21:14:08,pengiriman cepat banget skincare original,pengiriman cepat banget skincare original,Positive,"Shipping/Delivery,Product Quality"
"Bagus bgt, abang kurir juga ramah recommended seller.",5,2026-02-24 01:14:08,bagus bgt abang kurir juga ramah recommended seller,bagus banget abang kurir juga ramah recommended seller,Positive,"Shipping/Delivery,Product Quality,Customer Service"
"Biasa aja, pengirimannya standar.",3,2026-05-07 03:14:08,biasa aja pengirimannya standar,biasa aja pengiriman standar,Neutral,Shipping/Delivery
"Mantap, baju kualitasnya original juara.",5,2026-04-19 23:14:08,mantap baju kualitasnya original juara,mantap baju kualitasnya original juara,Positive,Product Quality
"Admin acuh, respon lambat, sepatu sptnya tiruan.",1,2026-07-17 10:14:08,admin acuh respon lambat sepatu sptnya tiruan,admin acuh respon lambat sepatu sptnya tiruan,Negative,"Shipping/Delivery,Product Quality,Customer Service"
"Bagus bgt, kurir juga ramah recommended seller.",5,2026-08-29 06:14:08,bagus bgt kurir juga ramah recommended seller,bagus banget kurir juga ramah recommended seller,Positive,"Shipping/Delivery,Product Quality,Customer Service"
"Kurir lambat, hp hancur pas sampai ga pake bubble wrap.",1,2026-05-29 06:14:08,kurir lambat hp hancur pas sampai ga pake bubble wrap,kurir lambat hp hancur pas sampai tidak pakai bubble wrap,Negative,"Shipping/Delivery,Packaging/Condition"
"Kurir lambat, jam tangan hancur pas sampai ga pake bubble wrap.",2,2026-08-11 15:14:08,kurir lambat jam tangan hancur pas sampai ga pake bubble wrap,kurir lambat jam tangan hancur pas sampai tidak pakai bubble wrap,Negative,"Shipping/Delivery,Packaging/Condition"
"Bagus bgt, abang kurir juga ramah recommended seller.",5,2026-02-13 15:14:08,bagus bgt abang kurir juga ramah recommended seller,bagus banget abang kurir juga ramah recommended seller,Positive,"Shipping/Delivery,Product Quality,Customer Service"
"Mantap, hp kualitasnya original juara.",4,2026-02-12 14:14:08,mantap hp kualitasnya original juara,mantap hp kualitasnya original juara,Positive,Product Quality
"Kecewa, baju cacat tdk sesuai gambar.",1,2026-02-01 21:14:08,kecewa baju cacat tdk sesuai gambar,kecewa baju cacat tidak sesuai gambar,Negative,Product Quality
"skincare bgs, packing aman pake bubble wrap.",4,2026-06-01 15:14:08,skincare bgs packing aman pake bubble wrap,skincare bagus pengemasan aman pakai bubble wrap,Positive,"Packaging/Condition,Product Quality"
"sepatu bgs, packing aman pake bubble wrap.",5,2026-06-20 03:14:08,sepatu bgs packing aman pake bubble wrap,sepatu bagus pengemasan aman pakai bubble wrap,Positive,"Packaging/Condition,Product Quality"
"Admin acuh, respon lambat, jam tangan sptnya tiruan.",1,2025-12-01 00:14:08,admin acuh respon lambat jam tangan sptnya tiruan,admin acuh respon lambat jam tangan sptnya tiruan,Negative,"Shipping/Delivery,Product Quality,Customer Service"
"Mantap, skincare kualitasnya original juara.",5,2026-05-05 18:14:08,mantap skincare kualitasnya original juara,mantap skincare kualitasnya original juara,Positive,Product Quality
skincare lumayan lah buat harga segini.,3,2026-04-18 06:14:08,skincare lumayan lah buat harga segini,skincare lumayan lah buat harga segini,Neutral,General
"Sesuai harga, baju cukup oke, admin biasa aja.",3,2026-08-24 02:14:08,sesuai harga baju cukup oke admin biasa aja,sesuai harga baju cukup oke admin biasa aja,Neutral,Customer Service
"Biasa aja, pengirimannya standar.",3,2026-01-23 11:14:08,biasa aja pengirimannya standar,biasa aja pengiriman standar,Neutral,Shipping/Delivery
"Pengirimannya lama banget, kurir lambat, baju penyok.",2,2026-08-28 09:14:08,pengirimannya lama banget kurir lambat baju penyok,pengiriman lama banget kurir lambat baju penyok,Negative,"Shipping/Delivery,Packaging/Condition"
"sepatu sampai dengan selamat, original sih tapi pengiriman lambat.",3,2026-01-13 12:14:08,sepatu sampai dengan selamat original sih tapi pengiriman lambat,sepatu sampai dengan selamat original sih tapi pengiriman lambat,Neutral,"Shipping/Delivery,Product Quality"
"skincare sampai dengan selamat, original sih tapi pengirimannya lambat.",3,2026-07-29 02:14:08,skincare sampai dengan selamat original sih tapi pengirimannya lambat,skincare sampai dengan selamat original sih tapi pengiriman lambat,Neutral,"Shipping/Delivery,Product Quality"
"Pengirimannya lama bgt, abang kurir lambat, tas penyok.",1,2026-03-12 12:14:08,pengirimannya lama bgt abang kurir lambat tas penyok,pengiriman lama banget abang kurir lambat tas penyok,Negative,"Shipping/Delivery,Packaging/Condition"
"Bagus bgt, abang kurir juga ramah recommended seller.",5,2025-10-28 08:14:08,bagus bgt abang kurir juga ramah recommended seller,bagus banget abang kurir juga ramah recommended seller,Positive,"Shipping/Delivery,Product Quality,Customer Service"
"Kurir lambat, hp hancur pas sampai ga pake bubble wrap.",2,2026-04-15 14:14:08,kurir lambat hp hancur pas sampai ga pake bubble wrap,kurir lambat hp hancur pas sampai tidak pakai bubble wrap,Negative,"Shipping/Delivery,Packaging/Condition"
"Kecewa, jam tangan cacat tidak sesuai gambar.",1,2026-04-24 20:14:08,kecewa jam tangan cacat tidak sesuai gambar,kecewa jam tangan cacat tidak sesuai gambar,Negative,Product Quality
"Pengiriman cepat bgt, skincare original.",4,2026-06-14 16:14:08,pengiriman cepat bgt skincare original,pengiriman cepat banget skincare original,Positive,"Shipping/Delivery,Product Quality"
"Bagus bgt, abang kurir juga ramah recommended seller.",5,2026-05-20 12:14:08,bagus bgt abang kurir juga ramah recommended seller,bagus banget abang kurir juga ramah recommended seller,Positive,"Shipping/Delivery,Product Quality,Customer Service"
"Admin acuh, respon lambat, skincare sepertinya tiruan.",1,2026-01-16 18:14:08,admin acuh respon lambat skincare sepertinya tiruan,admin acuh respon lambat skincare sepertinya tiruan,Negative,"Shipping/Delivery,Product Quality,Customer Service"
"Mantap, hp kualitasnya original juara.",5,2026-06-23 23:14:08,mantap hp kualitasnya original juara,mantap hp kualitasnya original juara,Positive,Product Quality
"Admin acuh, respon lambat, baju sepertinya tiruan.",2,2026-06-07 12:14:08,admin acuh respon lambat baju sepertinya tiruan,admin acuh respon lambat baju sepertinya tiruan,Negative,"Shipping/Delivery,Product Quality,Customer Service"
"Admin ramah responnya cepat, jam tangan sesuai deskripsi.",5,2025-11-14 09:14:08,admin ramah responnya cepat jam tangan sesuai deskripsi,admin ramah responnya cepat jam tangan sesuai deskripsi,Positive,"Shipping/Delivery,Customer Service"
"Sesuai harga, sepatu cukup oke, admin biasa aja.",3,2025-11-13 10:14:08,sesuai harga sepatu cukup oke admin biasa aja,sesuai harga sepatu cukup oke admin biasa aja,Neutral,Customer Service
"skincare sampai dengan selamat, original sih tapi pengirimannya lambat.",3,2026-01-04 06:14:08,skincare sampai dengan selamat original sih tapi pengirimannya lambat,skincare sampai dengan selamat original sih tapi pengiriman lambat,Neutral,"Shipping/Delivery,Product Quality"
"Pengiriman cepat bgt, skincare original.",5,2026-09-06 23:14:08,pengiriman cepat bgt skincare original,pengiriman cepat banget skincare original,Positive,"Shipping/Delivery,Product Quality"
"Gpp lah, agak lama tapi hp masih utuh.",3,2026-03-24 20:14:08,gpp lah agak lama tapi hp masih utuh,tidak apa-apa lah agak lama tapi hp masih utuh,Neutral,"Shipping/Delivery,Product Quality"
"hp bagus, packing aman pake bubble wrap.",4,2025-10-19 23:14:08,hp bagus packing aman pake bubble wrap,hp bagus pengemasan aman pakai bubble wrap,Positive,"Packaging/Condition,Product Quality"
"tas cacat, packing rusak dan bocor.",1,2025-12-11 14:14:08,tas cacat packing rusak dan bocor,tas cacat pengemasan rusak dan bocor,Negative,"Packaging/Condition,Product Quality"
"Pengiriman cepat bgt, skincare original.",5,2025-12-19 12:14:08,pengiriman cepat bgt skincare original,pengiriman cepat banget skincare original,Positive,"Shipping/Delivery,Product Quality"
"Kurir lambat, skincare hancur pas sampai ga pake bubble wrap.",1,2025-12-02 03:14:08,kurir lambat skincare hancur pas sampai ga pake bubble wrap,kurir lambat skincare hancur pas sampai tidak pakai bubble wrap,Negative,"Shipping/Delivery,Packaging/Condition"
"Pengirimannya lama banget, kurir lambat, sepatu penyok.",1,2026-08-25 12:14:08,pengirimannya lama banget kurir lambat sepatu penyok,pengiriman lama banget kurir lambat sepatu penyok,Negative,"Shipping/Delivery,Packaging/Condition"
"Admin ramah responnya cepat, hp sesuai deskripsi.",4,2026-01-14 22:14:08,admin ramah responnya cepat hp sesuai deskripsi,admin ramah responnya cepat hp sesuai deskripsi,Positive,"Shipping/Delivery,Customer Service"
"Admin acuh, respon lambat, hp sptnya tiruan.",2,2026-04-25 14:14:08,admin acuh respon lambat hp sptnya tiruan,admin acuh respon lambat hp sptnya tiruan,Negative,"Shipping/Delivery,Product Quality,Customer Service"
"Admin ramah responnya cepat, baju sesuai deskripsi.",4,2026-02-12 19:14:08,admin ramah responnya cepat baju sesuai deskripsi,admin ramah responnya cepat baju sesuai deskripsi,Positive,"Shipping/Delivery,Customer Service"
"skincare bgs, packing aman pake bubble wrap.",5,2026-08-19 23:14:08,skincare bgs packing aman pake bubble wrap,skincare bagus pengemasan aman pakai bubble wrap,Positive,"Packaging/Condition,Product Quality"
"Biasa aja, pengiriman standar.",3,2025-12-12 01:14:08,biasa aja pengiriman standar,biasa aja pengiriman standar,Neutral,Shipping/Delivery
"Bagus bgt, abang kurir juga ramah recommended seller.",5,2026-04-10 01:14:08,bagus bgt abang kurir juga ramah recommended seller,bagus banget abang kurir juga ramah recommended seller,Positive,"Shipping/Delivery,Product Quality,Customer Service"
"Admin ramah responnya cepat, skincare sesuai deskripsi.",5,2026-03-21 17:14:08,admin ramah responnya cepat skincare sesuai deskripsi,admin ramah responnya cepat skincare sesuai deskripsi,Positive,"Shipping/Delivery,Customer Service"
"Admin ramah responnya cepat, sepatu sesuai deskripsi.",5,2026-05-14 18:14:08,admin ramah responnya cepat sepatu sesuai deskripsi,admin ramah responnya cepat sepatu sesuai deskripsi,Positive,"Shipping/Delivery,Customer Service"
"Bagus bgt, abang kurir juga ramah recommended seller.",4,2026-06-09 08:14:08,bagus bgt abang kurir juga ramah recommended seller,bagus banget abang kurir juga ramah recommended seller,Positive,"Shipping/Delivery,Product Quality,Customer Service"
"skincare bgs, packing aman pake bubble wrap.",4,2026-07-10 23:14:08,skincare bgs packing aman pake bubble wrap,skincare bagus pengemasan aman pakai bubble wrap,Positive,"Packaging/Condition,Product Quality"
"Kurir lambat, skincare hancur pas sampai ga pake bubble wrap.",1,2026-01-12 06:14:08,kurir lambat skincare hancur pas sampai ga pake bubble wrap,kurir lambat skincare hancur pas sampai tidak pakai bubble wrap,Negative,"Shipping/Delivery,Packaging/Condition"
"Sesuai harga, hp cukup oke, admin biasa aja.",3,2026-05-09 12:14:08,sesuai harga hp cukup oke admin biasa aja,sesuai harga hp cukup oke admin biasa aja,Neutral,Customer Service
"Admin ramah responnya cepat, hp sesuai deskripsi.",5,2026-09-04 20:14:08,admin ramah responnya cepat hp sesuai deskripsi,admin ramah responnya cepat hp sesuai deskripsi,Positive,"Shipping/Delivery,Customer Service"
"jam tangan bgs, packing aman pake bubble wrap.",5,2026-01-03 04:14:08,jam tangan bgs packing aman pake bubble wrap,jam tangan bagus pengemasan aman pakai bubble wrap,Positive,"Packaging/Condition,Product Quality"
"Sesuai harga, tas cukup oke, admin biasa aja.",3,2025-09-28 22:14:08,sesuai harga tas cukup oke admin biasa aja,sesuai harga tas cukup oke admin biasa aja,Neutral,Customer Service
"Pengirimannya lama banget, kurir lambat, baju penyok.",2,2025-10-29 18:14:08,pengirimannya lama banget kurir lambat baju penyok,pengiriman lama banget kurir lambat baju penyok,Negative,"Shipping/Delivery,Packaging/Condition"
"Biasa aja, pengiriman standar.",3,2025-09-25 16:14:08,biasa aja pengiriman standar,biasa aja pengiriman standar,Neutral,Shipping/Delivery
"Kurir lambat, tas hancur pas sampai ga pake bubble wrap.",2,2026-07-25 17:14:08,kurir lambat tas hancur pas sampai ga pake bubble wrap,kurir lambat tas hancur pas sampai tidak pakai bubble wrap,Negative,"Shipping/Delivery,Packaging/Condition"
"Bagus bgt, kurir juga ramah recommended seller.",5,2026-04-20 04:14:08,bagus bgt kurir juga ramah recommended seller,bagus banget kurir juga ramah recommended seller,Positive,"Shipping/Delivery,Product Quality,Customer Service"
"Admin ramah responnya cepat, baju sesuai deskripsi.",5,2026-06-29 05:14:08,admin ramah responnya cepat baju sesuai deskripsi,admin ramah responnya cepat baju sesuai deskripsi,Positive,"Shipping/Delivery,Customer Service"
"skincare bgs, packing aman pake bubble wrap.",5,2025-10-05 19:14:08,skincare bgs packing aman pake bubble wrap,skincare bagus pengemasan aman pakai bubble wrap,Positive,"Packaging/Condition,Product Quality"
"Pengiriman cepat banget, tas original.",5,2026-02-22 02:14:08,pengiriman cepat banget tas original,pengiriman cepat banget tas original,Positive,"Shipping/Delivery,Product Quality"
"Admin ramah responnya cepat, skincare sesuai deskripsi.",5,2026-06-19 19:14:08,admin ramah responnya cepat skincare sesuai deskripsi,admin ramah responnya cepat skincare sesuai deskripsi,Positive,"Shipping/Delivery,Customer Service"
"Gpp lah, agak lama tapi hp masih utuh.",3,2026-05-28 09:14:08,gpp lah agak lama tapi hp masih utuh,tidak apa-apa lah agak lama tapi hp masih utuh,Neutral,"Shipping/Delivery,Product Quality"
"Bagus bgt, kurir juga ramah recommended seller.",4,2025-11-27 14:14:08,bagus bgt kurir juga ramah recommended seller,bagus banget kurir juga ramah recommended seller,Positive,"Shipping/Delivery,Product Quality,Customer Service"
"Mantap, hp kualitasnya original juara.",5,2025-09-22 15:14:08,mantap hp kualitasnya original juara,mantap hp kualitasnya original juara,Positive,Product Quality
"Gpp lah, agak lama tapi skincare masih utuh.",3,2025-11-07 12:14:08,gpp lah agak lama tapi skincare masih utuh,tidak apa-apa lah agak lama tapi skincare masih utuh,Neutral,"Shipping/Delivery,Product Quality"
"Pengiriman cepat banget, tas original.",5,2025-10-21 00:14:08,pengiriman cepat banget tas original,pengiriman cepat banget tas original,Positive,"Shipping/Delivery,Product Quality"
"sepatu cacat, packing rusak dan bocor.",2,2026-01-07 04:14:08,sepatu cacat packing rusak dan bocor,sepatu cacat pengemasan rusak dan bocor,Negative,"Packaging/Condition,Product Quality"
"Bagus bgt, abang kurir juga ramah recommended seller.",4,2025-10-30 04:14:08,bagus bgt abang kurir juga ramah recommended seller,bagus banget abang kurir juga ramah recommended seller,Positive,"Shipping/Delivery,Product Quality,Customer Service"
"Mantap, sepatu kualitasnya original juara.",4,2025-09-25 00:14:08,mantap sepatu kualitasnya original juara,mantap sepatu kualitasnya original juara,Positive,Product Quality
"Admin acuh, respon lambat, skincare sptnya tiruan.",2,2025-11-15 06:14:08,admin acuh respon lambat skincare sptnya tiruan,admin acuh respon lambat skincare sptnya tiruan,Negative,"Shipping/Delivery,Product Quality,Customer Service"
"Admin ramah responnya cepat, tas sesuai deskripsi.",5,2026-03-29 12:14:08,admin ramah responnya cepat tas sesuai deskripsi,admin ramah responnya cepat tas sesuai deskripsi,Positive,"Shipping/Delivery,Customer Service"
"Kecewa, hp cacat tdk sesuai gambar.",1,2026-06-12 00:14:08,kecewa hp cacat tdk sesuai gambar,kecewa hp cacat tidak sesuai gambar,Negative,Product Quality
"skincare cacat, packing rusak dan bocor.",2,2026-02-11 02:14:08,skincare cacat packing rusak dan bocor,skincare cacat pengemasan rusak dan bocor,Negative,"Packaging/Condition,Product Quality"
"Pengiriman cepat banget, baju original.",5,2026-04-11 14:14:08,pengiriman cepat banget baju original,pengiriman cepat banget baju original,Positive,"Shipping/Delivery,Product Quality"
"Pengiriman cepat bgt, jam tangan original.",5,2026-05-10 08:14:08,pengiriman cepat bgt jam tangan original,pengiriman cepat banget jam tangan original,Positive,"Shipping/Delivery,Product Quality"
"sepatu cacat, packing rusak dan bocor.",2,2026-01-28 21:14:08,sepatu cacat packing rusak dan bocor,sepatu cacat pengemasan rusak dan bocor,Negative,"Packaging/Condition,Product Quality"
"Pengiriman cepat bgt, skincare original.",4,2026-08-12 18:14:08,pengiriman cepat bgt skincare original,pengiriman cepat banget skincare original,Positive,"Shipping/Delivery,Product Quality"
baju lumayan lah buat harga segini.,3,2025-11-13 09:14:08,baju lumayan lah buat harga segini,baju lumayan lah buat harga segini,Neutral,General
"Admin ramah responnya cepat, jam tangan sesuai deskripsi.",5,2025-10-05 20:14:08,admin ramah responnya cepat jam tangan sesuai deskripsi,admin ramah responnya cepat jam tangan sesuai deskripsi,Positive,"Shipping/Delivery,Customer Service"
"Bagus bgt, abang kurir juga ramah recommended seller.",5,2026-01-07 00:14:08,bagus bgt abang kurir juga ramah recommended seller,bagus banget abang kurir juga ramah recommended seller,Positive,"Shipping/Delivery,Product Quality,Customer Service"
"Pengiriman cepat banget, tas original.",4,2026-06-30 09:14:08,pengiriman cepat banget tas original,pengiriman cepat banget tas original,Positive,"Shipping/Delivery,Product Quality"
"skincare bagus, packing aman pake bubble wrap.",5,2025-09-25 10:14:08,skincare bagus packing aman pake bubble wrap,skincare bagus pengemasan aman pakai bubble wrap,Positive,"Packaging/Condition,Product Quality"
"Pengiriman cepat bgt, sepatu original.",5,2026-01-10 16:14:08,pengiriman cepat bgt sepatu original,pengiriman cepat banget sepatu original,Positive,"Shipping/Delivery,Product Quality"
baju lumayan lah buat harga segini.,3,2026-06-16 19:14:08,baju lumayan lah buat harga segini,baju lumayan lah buat harga segini,Neutral,General
"Sesuai harga, skincare cukup oke, admin biasa aja.",3,2026-05-13 21:14:08,sesuai harga skincare cukup oke admin biasa aja,sesuai harga skincare cukup oke admin biasa aja,Neutral,Customer Service
"Admin ramah responnya cepat, sepatu sesuai deskripsi.",5,2026-06-04 16:14:08,admin ramah responnya cepat sepatu sesuai deskripsi,admin ramah responnya cepat sepatu sesuai deskripsi,Positive,"Shipping/Delivery,Customer Service"
"Admin acuh, respon lambat, hp sepertinya tiruan.",1,2026-05-22 11:14:08,admin acuh respon lambat hp sepertinya tiruan,admin acuh respon lambat hp sepertinya tiruan,Negative,"Shipping/Delivery,Product Quality,Customer Service"
"Pengiriman cepat bgt, skincare original.",5,2026-08-18 14:14:08,pengiriman cepat bgt skincare original,pengiriman cepat banget skincare original,Positive,"Shipping/Delivery,Product Quality"
"Admin acuh, respon lambat, hp sepertinya tiruan.",1,2026-08-26 15:14:08,admin acuh respon lambat hp sepertinya tiruan,admin acuh respon lambat hp sepertinya tiruan,Negative,"Shipping/Delivery,Product Quality,Customer Service"
"Admin ramah responnya cepat, tas sesuai deskripsi.",5,2026-08-27 20:14:08,admin ramah responnya cepat tas sesuai deskripsi,admin ramah responnya cepat tas sesuai deskripsi,Positive,"Shipping/Delivery,Customer Service"
"hp cacat, packing rusak dan bocor.",2,2026-06-17 00:14:08,hp cacat packing rusak dan bocor,hp cacat pengemasan rusak dan bocor,Negative,"Packaging/Condition,Product Quality"
"skincare bgs, packing aman pake bubble wrap.",5,2026-07-13 12:14:08,skincare bgs packing aman pake bubble wrap,skincare bagus pengemasan aman pakai bubble wrap,Positive,"Packaging/Condition,Product Quality"
"sepatu bgs, packing aman pake bubble wrap.",5,2025-10-23 12:14:08,sepatu bgs packing aman pake bubble wrap,sepatu bagus pengemasan aman pakai bubble wrap,Positive,"Packaging/Condition,Product Quality"
"Mantap, jam tangan kualitasnya original juara.",4,2026-05-25 04:14:08,mantap jam tangan kualitasnya original juara,mantap jam tangan kualitasnya original juara,Positive,Product Quality
"skincare cacat, packing rusak dan bocor.",1,2026-01-16 15:14:08,skincare cacat packing rusak dan bocor,skincare cacat pengemasan rusak dan bocor,Negative,"Packaging/Condition,Product Quality"
"Admin ramah responnya cepat, sepatu sesuai deskripsi.",5,2026-02-15 14:14:08,admin ramah responnya cepat sepatu sesuai deskripsi,admin ramah responnya cepat sepatu sesuai deskripsi,Positive,"Shipping/Delivery,Customer Service"
"Gpp lah, agak lama tapi hp masih utuh.",3,2026-02-16 20:14:08,gpp lah agak lama tapi hp masih utuh,tidak apa-apa lah agak lama tapi hp masih utuh,Neutral,"Shipping/Delivery,Product Quality"
"Mantap, tas kualitasnya original juara.",4,2026-05-19 20:14:08,mantap tas kualitasnya original juara,mantap tas kualitasnya original juara,Positive,Product Quality
"Mantap, skincare kualitasnya original juara.",5,2025-11-19 18:14:08,mantap skincare kualitasnya original juara,mantap skincare kualitasnya original juara,Positive,Product Quality
"Mantap, baju kualitasnya original juara.",5,2025-10-14 11:14:08,mantap baju kualitasnya original juara,mantap baju kualitasnya original juara,Positive,Product Quality
"Pengirimannya lama banget, kurir lambat, skincare penyok.",1,2026-09-08 04:14:08,pengirimannya lama banget kurir lambat skincare penyok,pengiriman lama banget kurir lambat skincare penyok,Negative,"Shipping/Delivery,Packaging/Condition"
"Admin acuh, respon lambat, hp sptnya tiruan.",2,2026-04-01 08:14:08,admin acuh respon lambat hp sptnya tiruan,admin acuh respon lambat hp sptnya tiruan,Negative,"Shipping/Delivery,Product Quality,Customer Service"
"Admin acuh, respon lambat, jam tangan sptnya tiruan.",1,2026-03-02 12:14:08,admin acuh respon lambat jam tangan sptnya tiruan,admin acuh respon lambat jam tangan sptnya tiruan,Negative,"Shipping/Delivery,Product Quality,Customer Service"
"Gpp lah, agak lama tapi sepatu masih utuh.",3,2026-01-09 22:14:08,gpp lah agak lama tapi sepatu masih utuh,tidak apa-apa lah agak lama tapi sepatu masih utuh,Neutral,"Shipping/Delivery,Product Quality"
"Bagus bgt, abang kurir juga ramah recommended seller.",4,2026-03-13 01:14:08,bagus bgt abang kurir juga ramah recommended seller,bagus banget abang kurir juga ramah recommended seller,Positive,"Shipping/Delivery,Product Quality,Customer Service"
"Kurir lambat, baju hancur pas sampai ga pake bubble wrap.",1,2025-12-17 08:14:08,kurir lambat baju hancur pas sampai ga pake bubble wrap,kurir lambat baju hancur pas sampai tidak pakai bubble wrap,Negative,"Shipping/Delivery,Packaging/Condition"
"baju bgs, packing aman pake bubble wrap.",4,2026-03-06 14:14:08,baju bgs packing aman pake bubble wrap,baju bagus pengemasan aman pakai bubble wrap,Positive,"Packaging/Condition,Product Quality"
"Mantap, skincare kualitasnya original juara.",4,2026-04-14 04:14:08,mantap skincare kualitasnya original juara,mantap skincare kualitasnya original juara,Positive,Product Quality
"Gpp lah, agak lama tapi tas masih utuh.",3,2026-05-15 22:14:08,gpp lah agak lama tapi tas masih utuh,tidak apa-apa lah agak lama tapi tas masih utuh,Neutral,"Shipping/Delivery,Product Quality"
"Admin acuh, respon lambat, skincare sepertinya tiruan.",2,2026-01-17 23:14:08,admin acuh respon lambat skincare sepertinya tiruan,admin acuh respon lambat skincare sepertinya tiruan,Negative,"Shipping/Delivery,Product Quality,Customer Service"
"Bagus bgt, kurir juga ramah recommended seller.",4,2026-06-07 22:14:08,bagus bgt kurir juga ramah recommended seller,bagus banget kurir juga ramah recommended seller,Positive,"Shipping/Delivery,Product Quality,Customer Service"
"Mantap, sepatu kualitasnya original juara.",5,2026-03-02 02:14:08,mantap sepatu kualitasnya original juara,mantap sepatu kualitasnya original juara,Positive,Product Quality
"Gpp lah, agak lama tapi jam tangan masih utuh.",3,2026-09-16 03:14:08,gpp lah agak lama tapi jam tangan masih utuh,tidak apa-apa lah agak lama tapi jam tangan masih utuh,Neutral,"Shipping/Delivery,Product Quality"
"jam tangan bgs, packing aman pake bubble wrap.",4,2026-08-23 17:14:08,jam tangan bgs packing aman pake bubble wrap,jam tangan bagus pengemasan aman pakai bubble wrap,Positive,"Packaging/Condition,Product Quality"
"Kurir lambat, skincare hancur pas sampai ga pake bubble wrap.",1,2026-03-23 20:14:08,kurir lambat skincare hancur pas sampai ga pake bubble wrap,kurir lambat skincare hancur pas sampai tidak pakai bubble wrap,Negative,"Shipping/Delivery,Packaging/Condition"
"Mantap, jam tangan kualitasnya original juara.",5,2026-04-20 17:14:08,mantap jam tangan kualitasnya original juara,mantap jam tangan kualitasnya original juara,Positive,Product Quality
"Pengirimannya lama bgt, abang kurir lambat, baju penyok.",2,2026-05-11 17:14:08,pengirimannya lama bgt abang kurir lambat baju penyok,pengiriman lama banget abang kurir lambat baju penyok,Negative,"Shipping/Delivery,Packaging/Condition"
"Mantap, jam tangan kualitasnya original juara.",5,2025-10-23 11:14:08,mantap jam tangan kualitasnya original juara,mantap jam tangan kualitasnya original juara,Positive,Product Quality
"Gpp lah, agak lama tapi baju masih utuh.",3,2026-02-15 05:14:08,gpp lah agak lama tapi baju masih utuh,tidak apa-apa lah agak lama tapi baju masih utuh,Neutral,"Shipping/Delivery,Product Quality"
"baju bgs, packing aman pake bubble wrap.",4,2026-06-12 05:14:08,baju bgs packing aman pake bubble wrap,baju bagus pengemasan aman pakai bubble wrap,Positive,"Packaging/Condition,Product Quality"
"Admin ramah responnya cepat, skincare sesuai deskripsi.",4,2026-08-31 17:14:08,admin ramah responnya cepat skincare sesuai deskripsi,admin ramah responnya cepat skincare sesuai deskripsi,Positive,"Shipping/Delivery,Customer Service"
"Bagus bgt, kurir juga ramah recommended seller.",4,2026-02-11 10:14:08,bagus bgt kurir juga ramah recommended seller,bagus banget kurir juga ramah recommended seller,Positive,"Shipping/Delivery,Product Quality,Customer Service"
"skincare bgs, packing aman pake bubble wrap.",5,2026-04-12 11:14:08,skincare bgs packing aman pake bubble wrap,skincare bagus pengemasan aman pakai bubble wrap,Positive,"Packaging/Condition,Product Quality"
"Mantap, sepatu kualitasnya original juara.",5,2026-07-05 21:14:08,mantap sepatu kualitasnya original juara,mantap sepatu kualitasnya original juara,Positive,Product Quality
"Gpp lah, agak lama tapi skincare masih utuh.",3,2026-08-18 11:14:08,gpp lah agak lama tapi skincare masih utuh,tidak apa-apa lah agak lama tapi skincare masih utuh,Neutral,"Shipping/Delivery,Product Quality"
"Bagus bgt, abang kurir juga ramah recommended seller.",5,2026-01-09 13:14:08,bagus bgt abang kurir juga ramah recommended seller,bagus banget abang kurir juga ramah recommended seller,Positive,"Shipping/Delivery,Product Quality,Customer Service"
"Admin ramah responnya cepat, sepatu sesuai deskripsi.",4,2025-10-19 19:14:08,admin ramah responnya cepat sepatu sesuai deskripsi,admin ramah responnya cepat sepatu sesuai deskripsi,Positive,"Shipping/Delivery,Customer Service"
"Kecewa, tas cacat tdk sesuai gambar.",1,2026-04-17 20:14:08,kecewa tas cacat tdk sesuai gambar,kecewa tas cacat tidak sesuai gambar,Negative,Product Quality
"Pengirimannya lama banget, kurir lambat, jam tangan penyok.",1,2026-08-03 09:14:08,pengirimannya lama banget kurir lambat jam tangan penyok,pengiriman lama banget kurir lambat jam tangan penyok,Negative,"Shipping/Delivery,Packaging/Condition"
"jam tangan bagus, packing aman pake bubble wrap.",5,2026-09-16 10:14:08,jam tangan bagus packing aman pake bubble wrap,jam tangan bagus pengemasan aman pakai bubble wrap,Positive,"Packaging/Condition,Product Quality"
"baju bgs, packing aman pake bubble wrap.",5,2025-10-02 22:14:08,baju bgs packing aman pake bubble wrap,baju bagus pengemasan aman pakai bubble wrap,Positive,"Packaging/Condition,Product Quality"
"hp cacat, packing rusak dan bocor.",2,2026-06-21 18:14:08,hp cacat packing rusak dan bocor,hp cacat pengemasan rusak dan bocor,Negative,"Packaging/Condition,Product Quality"
"Admin ramah responnya cepat, sepatu sesuai deskripsi.",4,2026-04-25 09:14:08,admin ramah responnya cepat sepatu sesuai deskripsi,admin ramah responnya cepat sepatu sesuai deskripsi,Positive,"Shipping/Delivery,Customer Service"
